,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({""'frozen foods'"", 'fruit', 'vegetables', 'biscuits', ""'baking needs'""})","frozenset({""'bread and cake'""})",0.17185473411154345,0.7196281884997838,0.15456117596195418,0.89937106918239,1.2497718732465413,0.030889664968152153,2.786194876783399
1,"frozenset({""'frozen foods'"", 'milk-cream', 'vegetables', 'biscuits'})","frozenset({""'bread and cake'""})",0.19779507133592736,0.7196281884997838,0.17704280155642024,0.8950819672131148,1.2438117093204775,0.03470389267676133,2.6722938283614375
2,"frozenset({'fruit', 'margarine', 'vegetables', 'biscuits'})","frozenset({""'bread and cake'""})",0.18482490272373542,0.7196281884997838,0.16536964980544747,0.894736842105263,1.2433321212312847,0.03236443986871698,2.663532209252051
3,"frozenset({""'frozen foods'"", 'fruit', 'vegetables', 'biscuits'})","frozenset({""'bread and cake'""})",0.2243839169909209,0.7196281884997838,0.20060527453523563,0.8940269749518305,1.242345685228948,0.03913228282257336,2.645690366702041
4,"frozenset({""'frozen foods'"", 'fruit', 'milk-cream', 'biscuits'})","frozenset({""'bread and cake'""})",0.20341547773454388,0.7196281884997838,0.1815823605706874,0.8926673751328373,1.2404563764988001,0.03519884881575949,2.6121769764525076
5,"frozenset({'fruit', ""'baking needs'"", 'milk-cream', 'margarine'})","frozenset({""'bread and cake'""})",0.17877215737137916,0.7196281884997838,0.15953307392996108,0.8923821039903264,1.2400599618682036,0.030883590166597225,2.605252675400882
6,"frozenset({""'frozen foods'"", 'fruit', 'margarine', 'biscuits'})","frozenset({""'bread and cake'""})",0.17509727626459143,0.7196281884997838,0.15585819282317337,0.8901234567901235,1.2369213310637162,0.029853257093639257,2.5516985091592717
7,"frozenset({""'baking needs'"", 'milk-cream', 'margarine', 'biscuits'})","frozenset({""'bread and cake'""})",0.17163856463467358,0.7196281884997838,0.1526156506701254,0.8891687657430731,1.2355946861902842,0.02909970132537218,2.5297183901269524
8,"frozenset({""'frozen foods'"", ""'tissues-paper prd'"", 'vegetables', 'biscuits'})","frozenset({""'bread and cake'""})",0.17163856463467358,0.7196281884997838,0.1526156506701254,0.8891687657430731,1.2355946861902842,0.02909970132537218,2.5297183901269524
9,"frozenset({""'frozen foods'"", 'margarine', 'vegetables', 'biscuits'})","frozenset({""'bread and cake'""})",0.17509727626459143,0.7196281884997838,0.15542585386943364,0.8876543209876544,1.233490203931778,0.029420918139899527,2.495617223243684
10,"frozenset({""'frozen foods'"", 'milk-cream', 'margarine', 'biscuits'})","frozenset({""'bread and cake'""})",0.16947686986597493,0.7196281884997838,0.15023778642455685,0.8864795918367346,1.2318577926815062,0.028277453570291697,2.46979213726033
